line,subject,tier2,tier3,tier1,tmin,tmax
93,CF36WOM_12,clause14-s2,sub,appunto per il mestiere pero',69.186,70.675
94,CF36WOM_12,len,f,:::o,70.675,71.024
95,CF36WOM_12,sil,?,(.),71.024,71.832
96,CF36WOM_12,clause14-s3,sub,va bene,71.832,72.284
97,CF36WOM_12,silV-e,?,(.)v,72.284,72.811
98,CF36WOM_12,fil,?,:e,72.811,73.045
99,CF36WOM_12,clause10_exp-s1,exp,"""mi vuoi raccontare come cunini"" ",73.045,74.75
100,CF36WOM_12,len_exp,?,:::i_exp,74.75,74.957
101,CF36WOM_12,clause10_exp-s2,exp,"""un tuo piatto che ti p-""",74.957,76.348
102,CF36WOM_12,clause11_exp-s1,exp,"""magari domani e' domenica, che cosa prepari?""",76.348,78.914
103,CF36WOM_12,fil,?,:e,78.914,79.18
104,CF36WOM_12,clause15-s1,sub,domani,79.18,79.769
105,CF36WOM_12,len,f,:::i,79.769,79.883
106,CF36WOM_12,ove,?,[],79.883,80.023
107,CF36WOM_12,clause12_exp-s1,exp,"""spieghi anche come li cucini questi piatti""",80.023,82.464
108,CF36WOM_12,silV-e,?,(.)v,82.464,82.714
109,CF36WOM_12,clause15-s2,sub,allora domani vogliono a base di pesce,82.714,84.619
110,CF36WOM_12,sil,?,(.),84.619,84.764
111,CF36WOM_12,clause16-s1,sub,guarda il caso,84.764,85.712
112,CF36WOM_12,sil,?,(.),85.712,86.38
113,CF36WOM_12,fil,?,:e,86.38,87.033
114,CF36WOM_12,clause17-s1,sub,mi hanno chiesto,87.033,87.836
115,CF36WOM_12,len,f,:::o,87.836,88.402
116,CF36WOM_12,fil,?,:m,88.402,89.095
117,CF36WOM_12,len,s,:::i,89.095,89.306
118,CF36WOM_12,clause17-s2,sub,i pi pi polipi,89.306,90.228
119,CF36WOM_12,sil,?,(.),90.228,90.922
120,CF36WOM_12,clause18-s1,sub,faccio affocati ,90.922,91.794
121,CF36WOM_12,clause19-s1,sub,e faccio anche i tubetti,91.794,92.721
122,CF36WOM_12,sil,?,(.),92.721,93.716
123,CF36WOM_12,clause20-s1,sub,poi faccio de,93.716,94.379
124,CF36WOM_12,len,f,:::e,94.379,94.537
125,CF36WOM_12,clause20-s2,sub,pesciolini che porta mio marito tipo la,94.537,96.368
126,CF36WOM_12,len,f,:::a,96.368,96.565
127,CF36WOM_12,clause21-s1,sub,seppie,96.565,97.197
128,CF36WOM_12,sil,?,(.),97.197,97.302
129,CF36WOM_12,clause21-s2,sub,con l'insa/,97.302,97.825
130,CF36WOM_12,len,m,:::a,97.825,97.944
131,CF36WOM_12,clause21-s3,sub,ta ,97.944,98.124
132,CF36WOM_12,clause22-s1,sub,la faccio  fritti,98.124,99.085
133,CF36WOM_12,sil,?,(.),99.085,99.458
134,CF36WOM_12,clause23-s1,sub,c'e' la ra/,99.458,100.094
135,CF36WOM_12,len,m,:::a,100.094,100.208
136,CF36WOM_12,clause23-s2,sub,ia,100.208,100.542
137,CF36WOM_12,clause24-s1,sub,tutte queste cose qua,100.542,101.446
138,CF36WOM_12,silV-e,?,(.)v,101.446,102.228
139,CF36WOM_12,clause13_exp-s1,exp,"""ho capito""",102.228,102.995
140,CF36WOM_12,fil_exp,?,:e_exp,102.995,103.57
141,CF36WOM_12,clause14_exp-s1,exp,"""mi vuoi parlare di una citta' che ti piace""",103.57,105.954
142,CF36WOM_12,clause15_exp-s1,exp,"""che hai visto nella tua vita?""",105.954,107.742
143,CF36WOM_12,sil,?,(.),107.742,108.401
144,CF36WOM_12,clause25-s1,sub,a me piace Salerno,108.401,109.521
145,CF36WOM_12,clause16_exp-s1,exp,"""Salerno""",109.521,110.198
146,CF36WOM_12,ove,?,[],110.198,110.536
147,CF36WOM_12,clause16_exp-s2,exp,"""ti piace?""",110.536,111.284
148,CF36WOM_12,fil,?,:e,111.284,112
149,CF36WOM_12,sil,?,(.),112,112.285
150,CF36WOM_12,clause26-s1,sub,nata cresciuta,112.285,113.339
151,CF36WOM_12,sil,?,(.),113.339,114.155
152,CF36WOM_12,ove,?,[],114.155,114.381
153,CF36WOM_12,clause17_exp-s1,exp,"""e che cosa ti ricordi della tua""",114.381,115.808
154,CF36WOM_12,len_exp,?,:::a_exp,115.808,116.493
155,CF36WOM_12,clause17_exp-s2,exp,"""della tua adolescenza?""",116.493,118.424
156,CF36WOM_12,fil,?,:eh,118.424,118.863
157,CF36WOM_12,clause27-s1,sub,tante cose belle ovvio,118.863,120.572
158,CF36WOM_12,ove,?,[],120.572,121.19
159,CF36WOM_12,clause28-s1,sub,i miei genitori,121.19,122.068
160,CF36WOM_12,sil,?,(.),122.068,122.2
161,CF36WOM_12,clause28-s2,sub,che c'erano tutti e due e' la cosa principale,122.2,124.18
162,CF36WOM_12,sil,?,(.),124.18,124.819
163,CF36WOM_12,clause29-s1,sub,e' questo che mi manca oggi,124.819,126.272
164,CF36WOM_12,sil,?,(.),126.272,127.453
165,CF36WOM_12,fil,?,:e,127.453,127.975
166,CF36WOM_12,clause30-s1,sub,niente ,127.975,128.471
167,CF36WOM_12,fil,f,:::e,128.471,128.668
168,CF36WOM_12,clause30-s2,sub,{} no son stata bene con i le amicizie come oggi tutti i ragazzi,128.668,133.024
169,CF36WOM_12,sil,?,(.),133.024,133.786
170,CF36WOM_12,clause31-s1,sub,s-,133.786,134.066
171,CF36WOM_12,len,s,:::n,134.066,134.474
172,CF36WOM_12,clause31-s2,sub,niente,134.474,134.9
173,CF36WOM_12,len,f,:::e,134.9,135.071
174,CF36WOM_12,fil,?,:te,135.071,135.44
175,CF36WOM_12,clause31-s3,sub,come si dice,135.44,136.256
176,CF36WOM_12,len,f,:::e,136.256,136.502
177,CF36WOM_12,sil,?,(.),136.502,137.288
178,CF36WOM_12,fil,?,:e,137.288,137.527
179,CF36WOM_12,clause31-s4,sub,in testa non mi frullava niente,137.527,139.007
180,CF36WOM_12,clause32-s1,sub,perche' avev dei genitori abbastanza,139.007,140.684
181,CF36WOM_12,len,f,:::a,140.684,140.838
182,CF36WOM_12,sil,?,(.),140.838,140.992
183,CF36WOM_12,clause32-s2,sub,abbastanza severi,140.992,142.08
184,CF36WOM_12,sil,?,(.),142.08,142.392
185,CF36WOM_12,clause33-s1,sub,pero' grazie a loro oggi,142.392,143.892
186,CF36WOM_12,sil,?,(.),143.892,144.893
187,CF36WOM_12,clause34-s1,sub,trasmetto questo ai miei figli,144.893,146.133
188,CF36WOM_12,silV-e,?,(.)v,146.133,146.667
189,CF36WOM_12,clause18_exp-s1,exp,"""e al mare ti piace andare in esta""",146.667,148.758
190,CF36WOM_12,ove,?,[],148.758,149.192
191,CF36WOM_12,clause35-s1,sub,si adesso poco,149.192,150.699
192,CF36WOM_12,clause19_exp-s1,exp,"""e in estate?""",150.699,151.477
193,CF36WOM_12,len_exp,?,:::e_exp,151.477,151.735
194,CF36WOM_12,silV-s,?,(.)v,151.735,152.245
195,CF36WOM_12,clause36-s1,sub,non mi piace,152.245,152.723
196,CF36WOM_12,ove,?,[],152.723,153.148
197,CF36WOM_12,clause20_exp-s1,exp,"""vaca""",153.148,153.381
198,CF36WOM_12,len_exp,?,:::a_exp,153.381,153.619
199,CF36WOM_12,clause20_exp-s2,exp,"""nze""",153.619,154.093
200,CF36WOM_12,len_exp,?,:::e_exp,154.093,154.334
201,CF36WOM_12,ove,?,[],154.334,156.015
202,CF36WOM_12,fil,?,:e,156.015,156.47
203,CF36WOM_12,clause37-s1,sub,tipo il lago Laceno,156.47,157.923
204,CF36WOM_12,sil,?,(.),157.923,158.196
205,CF36WOM_12,clause37-s2,sub,in montagna a stare freschi soprattutto la,158.196,160.658
206,CF36WOM_12,clause38-s1,sub,perche' si sta tranqui/,160.658,161.682
207,CF36WOM_12,len,m,:::i,161.682,161.836
208,CF36WOM_12,clause38-s2,sub,lli,161.836,162.104
209,CF36WOM_12,len,f,:::i,162.104,162.236
210,CF36WOM_12,clause38-s3,sub,freschi,162.236,163.03
211,CF36WOM_12,sil,?,(.),163.03,163.899
212,CF36WOM_12,fil,?,:e,163.899,164.081
213,CF36WOM_12,clause39-s1,sub,la mi piace di piu',164.081,164.867
214,CF36WOM_12,silV-e,?,(.)v,164.867,165.246
215,CF36WOM_12,clause21_exp-s1,exp,"""e stamattina che cosa hai fatto?""",165.246,167.061
216,CF36WOM_12,clause40-s1,sub,la spesa,167.061,167.71
217,CF36WOM_12,silV-e,?,(.)v,167.71,168.482
218,CF36WOM_12,clause22_exp-s1,exp,"""che hai comprato?""",168.482,169.276
219,CF36WOM_12,silV-s,?,(.)v,169.276,169.605
220,CF36WOM_12,clause41-s1,sub,allora appunto come ti dicevo ho fatto a base di pesce,169.605,172.598
221,CF36WOM_12,clause42-s1,sub,so andata a prendere,172.598,173.49
222,CF36WOM_12,len,f,:::e,173.49,173.701
223,CF36WOM_12,clause42-s2,sub,le cose che mi manca/,173.701,174.641
224,CF36WOM_12,len,m,:::a,174.641,174.763
225,CF36WOM_12,clause42-s3,sub,vano,174.763,175.137
226,CF36WOM_12,sil,?,(.),175.137,175.512
227,CF36WOM_12,fil,?,:e,175.512,175.882
228,CF36WOM_12,clause42-s4,sub,poi detersi/,175.882,176.707
229,CF36WOM_12,len,m,:::i,176.707,176.971
230,CF36WOM_12,clause42-s5,sub,vi,176.971,177.168
231,CF36WOM_12,len,f,:::i,177.168,177.317
232,CF36WOM_12,clause45-s1,sub,di si cose e di solito che si prende il saba,177.317,179.679
233,CF36WOM_12,ove,?,[],179.679,180.156
