line,subject,tier2,tier3,tier1,tmin,tmax
1,CM27WOM_39,noise,?,{noise},0,5.107
2,CM27WOM_39,fil_exp,?,:e_exp,5.107,5.338
3,CM27WOM_39,clause1_exp-s1,exp,"""vabbe'ra- raccontami cosa fai nella tua vita?""",5.338,7.485
4,CM27WOM_39,clause2_exp-s1,exp,"""non lo so""",7.485,7.858
5,CM27WOM_39,clause3_exp-s1,exp,"""cosa studi?""",7.858,8.63
6,CM27WOM_39,clause4_exp-s1,exp,"""se lavori?""",8.63,9.372
7,CM27WOM_39,len_exp,?,:::i_exp,9.372,9.509
8,CM27WOM_39,clause1-s1,sub,allora studio ingegneria elettronica,9.509,11.192
9,CM27WOM_39,clause2-s1,sub,mi so per,11.192,11.723
10,CM27WOM_39,len,f,:::r,11.723,12.114
11,CM27WOM_39,clause2-s2,sub,laureare,12.114,12.685
12,CM27WOM_39,len,f,:::e,12.685,12.939
13,CM27WOM_39,sil,?,(.),12.939,13.328
14,CM27WOM_39,clause2-s3,sub,ingegneria elettronica,13.328,14.25
15,CM27WOM_39,clause3-s1,sub,appunto sto facendo un tirocinio alla ST Microeletronics,14.25,16.972
16,CM27WOM_39,len,f,:::e,16.972,17.364
17,CM27WOM_39,clause5-exp-s1,exp,"""dove?""",17.364,18.155
18,CM27WOM_39,clause4-s1,sub,ad Arzano,18.155,18.852
19,CM27WOM_39,sil,?,(.),18.852,20.309
20,CM27WOM_39,fil,?,:e,20.309,21.086
21,CM27WOM_39,sil,?,(.),21.086,21.521
22,CM27WOM_39,clause5-s1,sub,questo e',21.521,21.992
23,CM27WOM_39,ove,?,[],21.992,25.12
24,CM27WOM_39,sil,?,(.),25.12,25.516
25,CM27WOM_39,clause6-s1,sub,no mi manca,25.516,26.183
26,CM27WOM_39,len,f,:::a,26.183,26.541
27,CM27WOM_39,clause6-s2,sub,un ultimo esame prima della laurea,26.541,28.341
28,CM27WOM_39,len,f,:::a,28.341,28.574
29,CM27WOM_39,sil,?,(.),28.574,28.978
30,CM27WOM_39,clause7-s1,sub,sto,28.978,29.369
31,CM27WOM_39,len,f,:::o,29.369,29.803
32,CM27WOM_39,sil,?,(.),29.803,30.15
33,CM27WOM_39,ove,?,[],30.15,30.818
34,CM27WOM_39,clause6_exp-s1,exp,"""ata?""",30.818,31.297
35,CM27WOM_39,clause8-s1,sub,microonde,31.297,31.923
36,CM27WOM_39,sil,?,(.),31.923,32.155
37,CM27WOM_39,clause8-s2,sub,microonde e circuiti,32.155,33.178
38,CM27WOM_39,sil,?,(.),33.178,33.749
39,CM27WOM_39,len,s,:::e,33.749,33.895
40,CM27WOM_39,clause9-s1,sub,e sto,33.895,34.303
41,CM27WOM_39,len,f,:::o,34.303,34.922
42,CM27WOM_39,sil,?,(.),34.922,35.406
43,CM27WOM_39,lau_exp,?,[l]_exp,35.406,35.892
44,CM27WOM_39,clause9-s2,sub,lo sto preparando in questa sessione,35.892,37.235
45,CM27WOM_39,len,f,:::e,37.235,37.415
46,CM27WOM_39,clause9-s3,sub,estiva,37.415,38.105
47,CM27WOM_39,fil,?,:e,38.105,38.394
